experiment_id,dataset,input_clip_id,raag_name,input_tempo_bpm,input_tempo_category,input_quality_tier,input_spectral_centroid,input_dynamic_range,input_duration_sec,input_chroma_sparsity,input_chroma_entropy,input_pitch_confidence,input_num_active_pitches,model_name,model_architecture,conditioning_level,conditioning_type,input_required,target_genre,target_bpm,tempo_condition,hcm_tempo_name,time_signature,rhythm_signature,random_seed,cfg_scale,generation_duration,text_prompt,tempo_mismatch_ratio,output_filename,output_spectral_centroid,output_dynamic_range,output_tempo_bpm,output_rms_energy,pitch_contour_correlation,melodic_interval_correlation,pitch_range_overlap,chroma_cosine_similarity,chroma_euclidean_distance,chroma_kl_divergence,chroma_emd,chroma_pearson_correlation,chroma_spearman_correlation,frame-by-frame_chroma_similarity,spectral_centroid_shift,dynamic_range_preservation,spectral_similarity,tempo_error_percent,tempo_achievement_score,tempo_adaptation_quality,overall_quality,melody_preservation,genre_coherence,fusion_naturalness,rhythmic_coherence,artifacts_present,generation_status,generation_date,generation_time_sec,evaluator_notes,experiment_batch
1,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Rock,70,Vilambit,Vilambit,4/4,"driving backbeat, emphasis on beats 2 and 4",43,3.0,30,"miya malhar Madhya Rock music, 70 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",0.69,DS1_Saraga_miya malhar_103_Stable-Audio-Open_Rock_Vilambit_43.wav,2059.965,80.0,143.555,0.204,0.204,-0.002,0.917,0.926,16.379,0.079,0.555,0.128,0.007,0.618,1.159,2.423,0.986,105.178,0.0,0.0,,,,,,,completed,1761179167.574801,33.570674657821655,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
2,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Rock,120,Madhya,Madhya,4/4,"driving backbeat, emphasis on beats 2 and 4",44,3.0,30,"miya malhar Madhya Rock music, 120 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",1.183,DS1_Saraga_miya malhar_103_Stable-Audio-Open_Rock_Madhya_44.wav,2242.055,67.156,117.454,0.222,0.051,0.022,1.0,0.931,43.435,0.068,0.574,-0.156,-0.154,0.622,1.261,2.034,0.99,2.086,1.0,1.0,,,,,,,completed,1761179351.724839,33.49517583847046,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
3,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Rock,180,Drut,Drut,4/4,"driving backbeat, emphasis on beats 2 and 4",45,3.0,30,"miya malhar Madhya Rock music, 180 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",1.775,DS1_Saraga_miya malhar_103_Stable-Audio-Open_Rock_Drut_45.wav,2811.703,80.0,89.103,0.364,0.146,-0.035,0.75,0.961,42.226,0.036,0.434,0.383,0.608,0.604,1.582,2.423,0.994,50.494,0.0,0.0,,,,,,,completed,1761179402.952528,32.743820905685425,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
4,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Jazz,70,Vilambit,Vilambit,4/4,"swing rhythm, syncopation, walking bass",46,3.0,30,"miya malhar Madhya Jazz music, 70 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",0.69,DS1_Saraga_miya malhar_103_Stable-Audio-Open_Jazz_Vilambit_46.wav,1803.742,80.0,117.454,0.054,-0.119,-0.03,1.0,0.893,5.29,0.107,0.614,-0.046,0.133,0.569,1.015,2.423,0.99,67.873,0.0,0.0,,,,,,,completed,1761179449.88338,32.78928256034851,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
5,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Jazz,120,Madhya,Madhya,4/4,"swing rhythm, syncopation, walking bass",47,3.0,30,"miya malhar Madhya Jazz music, 120 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",1.183,DS1_Saraga_miya malhar_103_Stable-Audio-Open_Jazz_Madhya_47.wav,975.713,20.381,135.999,0.086,-0.049,-0.004,1.0,0.897,11.615,0.094,0.313,-0.111,-0.105,0.587,0.549,0.617,0.985,13.374,0.8,0.8,,,,,,,completed,1761179632.377516,35.36117339134216,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
6,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Jazz,180,Drut,Drut,4/4,"swing rhythm, syncopation, walking bass",48,3.0,30,"miya malhar Madhya Jazz music, 180 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",1.775,DS1_Saraga_miya malhar_103_Stable-Audio-Open_Jazz_Drut_48.wav,2979.85,80.0,89.103,0.073,0.106,0.016,1.0,0.913,4.993,0.085,0.269,-0.144,-0.154,0.599,1.676,2.423,0.994,50.494,0.0,0.0,,,,,,,completed,1761179683.45957,32.39548921585083,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
7,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Funk,70,Vilambit,Vilambit,4/4,"syncopated groove, emphasis on the one, tight rhythm section",49,3.0,30,"miya malhar Madhya Funk music, 70 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",0.69,DS1_Saraga_miya malhar_103_Stable-Audio-Open_Funk_Vilambit_49.wav,1745.322,80.0,143.555,0.09,-0.179,-0.015,1.0,0.941,10.29,0.056,0.575,0.024,0.385,0.61,0.982,2.423,0.994,105.178,0.0,0.0,,,,,,,completed,1761179728.513919,32.17262411117554,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
8,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Funk,120,Madhya,Madhya,4/4,"syncopated groove, emphasis on the one, tight rhythm section",50,3.0,30,"miya malhar Madhya Funk music, 120 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",1.183,DS1_Saraga_miya malhar_103_Stable-Audio-Open_Funk_Madhya_50.wav,1963.047,80.0,117.454,0.157,-0.053,-0.021,0.667,0.889,29.771,0.114,0.813,-0.091,0.14,0.54,1.104,2.423,0.99,2.086,1.0,1.0,,,,,,,completed,1761179774.085297,32.55474662780762,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
9,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Funk,180,Drut,Drut,4/4,"syncopated groove, emphasis on the one, tight rhythm section",51,3.0,30,"miya malhar Madhya Funk music, 180 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",1.775,DS1_Saraga_miya malhar_103_Stable-Audio-Open_Funk_Drut_51.wav,3793.207,80.0,117.454,0.371,0.036,-0.092,0.833,0.821,34.439,0.175,0.468,0.092,0.399,0.504,2.134,2.423,0.985,34.742,0.4,0.34,,,,,,,completed,1761179819.309023,32.62086892127991,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
10,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Blues,70,Vilambit,Vilambit,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",52,3.0,30,"miya malhar Madhya Blues music, 70 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",0.69,DS1_Saraga_miya malhar_103_Stable-Audio-Open_Blues_Vilambit_52.wav,1714.782,73.2,69.837,0.132,0.101,-0.015,1.0,0.931,25.523,0.068,0.763,-0.07,0.098,0.564,0.965,2.217,0.996,0.184,1.0,0.94,,,,,,,completed,1761179863.816552,31.967475414276123,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
